Epoch: 1 | Step: 0 | train loss: 0.985919 | val loss: 0.085244
Epoch: 2 | Step: 0 | train loss: 1.102671 | val loss: 0.033734
Epoch: 3 | Step: 0 | train loss: 0.758344 | val loss: 0.054705
Epoch: 4 | Step: 0 | train loss: 0.754848 | val loss: 0.066428
Epoch: 5 | Step: 0 | train loss: 0.570674 | val loss: 0.050383
Epoch: 6 | Step: 0 | train loss: 0.433457 | val loss: 0.065940
Epoch: 7 | Step: 0 | train loss: 0.450892 | val loss: 0.098596
Epoch: 8 | Step: 0 | train loss: 0.364924 | val loss: 0.100749
Epoch: 9 | Step: 0 | train loss: 0.306528 | val loss: 0.086043
Epoch: 10 | Step: 0 | train loss: 0.223179 | val loss: 0.063212
Epoch: 11 | Step: 0 | train loss: 0.175901 | val loss: 0.041108
Epoch: 12 | Step: 0 | train loss: 0.173111 | val loss: 0.030701
Epoch: 13 | Step: 0 | train loss: 0.157661 | val loss: 0.024117
Epoch: 14 | Step: 0 | train loss: 0.143613 | val loss: 0.019340
Epoch: 15 | Step: 0 | train loss: 0.118743 | val loss: 0.017617
Epoch: 16 | Step: 0 | train loss: 0.126197 | val loss: 0.015372
Epoch: 17 | Step: 0 | train loss: 0.084186 | val loss: 0.013131
Epoch: 18 | Step: 0 | train loss: 0.072730 | val loss: 0.012820
Epoch: 19 | Step: 0 | train loss: 0.064969 | val loss: 0.014085
Epoch: 20 | Step: 0 | train loss: 0.058040 | val loss: 0.017169
Epoch: 21 | Step: 0 | train loss: 0.052970 | val loss: 0.020177
Epoch: 22 | Step: 0 | train loss: 0.048780 | val loss: 0.021792
Epoch: 23 | Step: 0 | train loss: 0.041417 | val loss: 0.020819
Epoch: 24 | Step: 0 | train loss: 0.032651 | val loss: 0.018173
Epoch: 25 | Step: 0 | train loss: 0.033952 | val loss: 0.015896
Epoch: 26 | Step: 0 | train loss: 0.026300 | val loss: 0.013769
Epoch: 27 | Step: 0 | train loss: 0.032513 | val loss: 0.011589
Epoch: 28 | Step: 0 | train loss: 0.032268 | val loss: 0.010500
Epoch: 29 | Step: 0 | train loss: 0.027775 | val loss: 0.010001
Epoch: 30 | Step: 0 | train loss: 0.026095 | val loss: 0.010178
Epoch: 31 | Step: 0 | train loss: 0.028303 | val loss: 0.010353
Epoch: 32 | Step: 0 | train loss: 0.027332 | val loss: 0.011035
Epoch: 33 | Step: 0 | train loss: 0.025028 | val loss: 0.012100
Epoch: 34 | Step: 0 | train loss: 0.023031 | val loss: 0.013466
Epoch: 35 | Step: 0 | train loss: 0.020298 | val loss: 0.015497
Epoch: 36 | Step: 0 | train loss: 0.019317 | val loss: 0.017229
Epoch: 37 | Step: 0 | train loss: 0.022381 | val loss: 0.017802
Epoch: 38 | Step: 0 | train loss: 0.020640 | val loss: 0.017209
Epoch: 39 | Step: 0 | train loss: 0.020964 | val loss: 0.015790
Epoch: 40 | Step: 0 | train loss: 0.018761 | val loss: 0.013928
Epoch: 41 | Step: 0 | train loss: 0.018318 | val loss: 0.012277
Epoch: 42 | Step: 0 | train loss: 0.017329 | val loss: 0.011247
Epoch: 43 | Step: 0 | train loss: 0.015770 | val loss: 0.010602
Epoch: 44 | Step: 0 | train loss: 0.019382 | val loss: 0.010322
Epoch: 45 | Step: 0 | train loss: 0.017060 | val loss: 0.010551
Epoch: 46 | Step: 0 | train loss: 0.016724 | val loss: 0.011350
Epoch: 47 | Step: 0 | train loss: 0.015874 | val loss: 0.012089
Epoch: 48 | Step: 0 | train loss: 0.017090 | val loss: 0.013461
Epoch: 49 | Step: 0 | train loss: 0.015100 | val loss: 0.014417
Epoch: 50 | Step: 0 | train loss: 0.016442 | val loss: 0.014505
Epoch: 51 | Step: 0 | train loss: 0.015439 | val loss: 0.013952
Epoch: 52 | Step: 0 | train loss: 0.014663 | val loss: 0.013128
Epoch: 53 | Step: 0 | train loss: 0.013352 | val loss: 0.012006
Epoch: 54 | Step: 0 | train loss: 0.013805 | val loss: 0.011096
Epoch: 55 | Step: 0 | train loss: 0.015056 | val loss: 0.010598
Epoch: 56 | Step: 0 | train loss: 0.013720 | val loss: 0.010429
Epoch: 57 | Step: 0 | train loss: 0.016429 | val loss: 0.010362
Epoch: 58 | Step: 0 | train loss: 0.013401 | val loss: 0.010868
Epoch: 59 | Step: 0 | train loss: 0.013088 | val loss: 0.011350
Epoch: 60 | Step: 0 | train loss: 0.013554 | val loss: 0.012065
Epoch: 61 | Step: 0 | train loss: 0.013222 | val loss: 0.012855
Epoch: 62 | Step: 0 | train loss: 0.012875 | val loss: 0.013219
Epoch: 63 | Step: 0 | train loss: 0.013404 | val loss: 0.013007
Epoch: 64 | Step: 0 | train loss: 0.012709 | val loss: 0.012582
Epoch: 65 | Step: 0 | train loss: 0.014621 | val loss: 0.011797
Epoch: 66 | Step: 0 | train loss: 0.012417 | val loss: 0.011074
Epoch: 67 | Step: 0 | train loss: 0.012636 | val loss: 0.010420
Epoch: 68 | Step: 0 | train loss: 0.013934 | val loss: 0.010034
